GLOSS ID	LIST ID	ENGLISH	RON_B	SHG	SKB	KHP	KMG	CHO	PSK
Backstrom-1992-210b-1	Balti-1	body	rgo	ᶷrgo	rgo	ᶷrgo	ᶷrgo	rɣo	ᶷrgo
Backstrom-1992-210b-2	Balti-2	head	goó	goó	goó	goó	goó	goó	goó
Backstrom-1992-210b-3	Balti-3	hair	rɑl	rɑl	rɑl	rɑl	rɑl	rɑl	rɪyɑl
Backstrom-1992-210b-4	Balti-4	face	ᶷɣdoŋ	ᵒɣdoŋ	ᵒɣdoŋ	ɣᶺdoŋ / ᶷɣdoŋ	ᵒɣdoŋ	rdoŋ	ᶷrdoŋ
Backstrom-1992-210b-5	Balti-5	eye	mɪk	mɪk	mɪk	mɪk	mɪk	mik	mik
Backstrom-1992-210b-6	Balti-6	ear	snɑ	n̥ɑ / snɑ	snɑ	snɑ	šnɑ	snɑ	šnɑ
Backstrom-1992-210b-7	Balti-7	nose	xnʌmsul	n̥ʌmsul / nʌmsul	snʌmsul	nʌmsul	snʌmsul	snʌmsul	snʌmsul
Backstrom-1992-210b-8	Balti-8	mouth	kʰʌpʌk	kʰɑbʌk	kʰɑbʌk	kʰɑ	kʰɑ	kʰɑ	kʰɑ
Backstrom-1992-210b-9	Balti-9	teeth	so	so	soʰ	so	so	so	so
Backstrom-1992-210b-10	Balti-10	tongue	ɬče	ɬče	ɬče	ɬče	ɬče	ɬče	ɬče
Backstrom-1992-210b-11	Balti-11	breast	blʌŋ	blʌŋ	blʌŋ	brʌŋ	brʌŋ	brʌŋ	blʌŋ
Backstrom-1992-210b-12	Balti-12	belly	ɬtwɑ	ɬtwɑ	ɬtwɑ	ɬtwɑ	ɬtwɑ	ɬtwɑ	ɬtwɑ
Backstrom-1992-210b-13	Balti-13	arm	pl̥ʌqpʌ	prʌqpʌ	pl̥ʌqpʌ	prʌxɸʌ	prʌqpʌ	plʌqpʌ	lʌqpʌ
Backstrom-1992-210b-14	Balti-14	elbow	č̣ɪmok	tʰrɪmoŋ / tʰrɪmok	tʰrɪmoŋ / tʰrɪmok	tʰrimoŋ	pʊrt͡sʊk	kʰriõŋ	kʰrimoks
Backstrom-1992-210b-15	Balti-15	palm	lʌqtʰɪl	lɑqtʰɪl	lʌqtʰɪl	lʌxtʰɪl	lʌqtʰɪl	lʌqtʰɪl	lʌqtʰɪl
Backstrom-1992-210b-16	Balti-16	finger	sɛnmo	sɛnmo / sɛrmo	sɛnmo	sɛnmʌ / sɛrmo	zogu / sɛnmo	d͡zogu	zɪgu
Backstrom-1992-210b-17	Balti-17	fingernail	zɛrmoŋ	zɛrmõŋ	zɛrmõŋ	zɛrmõŋ	rowɑ	roɣɑ / sɛnmɛro	sɛrmõ
Backstrom-1992-210b-18	Balti-18	leg	kɑŋmʌ	kɑŋmʌ	kʌŋmʌ	kʌŋmʌ	kʌŋmʌ	kʌŋmʌ	kɑŋmʌ
