ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Source_ID,List_ID,List_Name,Location,Note
Urdu,Urdu,urdu1245,Urdu,urd,Eurasia,,,Indo-European,URDU,A,Urdu and Pashto,,
Pashto,Pashto,cent1973,Central Pashto,pst,Eurasia,,,Indo-European,PASHTO,A,Urdu and Pashto,,
RonduBalti,Rondu Balti,balt1258,Balti,bft,Eurasia,35.468685,75.358422,Sino-Tibetan,RON_B,B,Balti,"Rondu Valley, Basho village",Coordinates were retrieved from epsg.io
ShigarBalti,Shigar Balti,balt1258,Balti,bft,Eurasia,35.422616,75.737108,Sino-Tibetan,SHG,B,Balti,"Shigar Valley, Shigar and Churka villages",Coordinates were retrieved from epsg.io
SkarduBalti,Skardu Balti,balt1258,Balti,bft,Eurasia,35.289137,75.607395,Sino-Tibetan,SKB,B,Balti,"Skardu Valley, Skardu town and Hussainabad village",Coordinates were retrieved from epsg.io
KhapaluBalti,Khapalu Balti,balt1258,Balti,bft,Eurasia,35.163409,76.342552,Sino-Tibetan,KHP,B,Balti,"Khapalu Valley, Konewa village",Coordinates were retrieved from epsg.io
KharmangBalti,Kharmang Balti,balt1258,Balti,bft,Eurasia,34.968679,76.213849,Sino-Tibetan,KMG,B,Balti,Kharmang Valley,Coordinates were retrieved from epsg.io
ChorbatBalti,Chorbat Balti,balt1258,Balti,bft,Eurasia,34.979586,72.680387,Sino-Tibetan,CHO,B,Balti,"Chorbat, Siksa village",Coordinates were retrieved from epsg.io
SkarduPurki,Skardu Purki,puri1258,Purik-Sham-Nubra,prx,Eurasia,,,Sino-Tibetan,PSK,B,Balti,Skardu Purki,
Hussainabad,Hussainabad,hunz1248,Hunza,,Eurasia,36.6865546,74.8234606,Burushaski,HUS,C,Burushaski,"Hunza, Hussainabad",
Murtazabad,Murtazabad,hunz1248,Hunza,,Eurasia,36.2821952,74.5889064,Burushaski,MUR,C,Burushaski,"Hunza, Murtazabad",
Haiderabad,Haiderabad,hunz1248,Hunza,,Eurasia,36.2969008,74.5985662,Burushaski,HYD,C,Burushaski,"Hunza, Haiderabad",
Ganish,Ganish,hunz1248,Hunza,,Eurasia,36.312159,74.6626353,Burushaski,GAN,C,Burushaski,"Hunza, Ganish",
NazimabadUpperSust,Nazimabad (Upper Sust) ,hunz1248,Hunza,,Eurasia,36.6717915,74.8337469,Burushaski,NAZ,C,Burushaski,"Hunza (Gojal), Nazimabad",
UyumNagar,Uyum Nagar,naga1398,Nagar,,Eurasia,36.1528358,74.8461621,Burushaski,UYU,C,Burushaski,"Nagar, Uyum Nagar",
Hoper,Hoper,naga1398,Nagar,,Eurasia,36.1528358,74.8461621,Burushaski,HOP,C,Burushaski,"Nagar, Hoper",
YasinCenter,Yasin Center,yasi1237,Yasin,,Eurasia,36.4092359,73.0214217,Burushaski,YAS_C,C,Burushaski,"Central Yasin, Yasin Bala",
ThuiYasin,Thui (Yasin),yasi1237,Yasin,,Eurasia,,,Burushaski,THU,C,Burushaski,"Northern Yasin, Thui",
Passu,Passu,goja1238,Gojal,,Eurasia,,,Indo-European,PSU,D,Wakhi,"Central Gojal, Passu",
Shimshal,Shimshal,,,,,36.435521,75.325492,Indo-European,SHM,D,Wakhi,"Shimshal, Shimshal",Coordinates were retrieved from epsg.io
Chapursan,Chapursan ,,,,,36.494474,74.294484,Indo-European,CHP,D,Wakhi,"Chapursan, Shar-e-savz",Coordinates were retrieved from epsg.io
Yasin,Yasin,yasi1244,Yasin (Indo-European),,Eurasia,,,Indo-European,YAS,D,Wakhi,"Yasin, Darkot",
Ishkoman,Ishkoman,ishk1245,Ishkoman,,Eurasia,,,Indo-European,ISH,D,Wakhi,"Ishkoman, Imit",
Domaaki,Domaaki,hunz1249,Hunza Domaaki,,Eurasia,,,Indo-European,DOMAAKI,E,Domaaki,"Mominabad, Hunza",
Gupis,Gupis,,,,,36.227407,73.442007,Indo-European,GUP,F,Shina,"Gupis Shina, Gupis",Coordinates were retrieved from epsg.io
Punial,Punial,puni1238,Punial,,Eurasia,,,Indo-European,PUN,F,Shina,"Punial Shina, Hatoon, Bubur, Gakuch in Punial",
HunzaNasirabad,Hunza(Nasirabad),hunz1246,Hunza-Nagar,,Eurasia,,,Indo-European,HUN,F,Shina,"Hunza Shina, Nasirabad (Hini) in Hunza",
NagarThol,Nagar(Thol),hunz1246,Hunza-Nagar,,Eurasia,,,Indo-European,NAG,F,Shina,"Nagar Shina, Thol in Nagar",
NagarChalt,Nagar(Chalt),hunz1246,Hunza-Nagar,,Eurasia,,,Indo-European,CLT,F,Shina,"Chalt Shina, Chalt and Budelas (near Chalt)",
Gilgit,Gilgit,gilg1243,Gilgit,,Eurasia,,,Indo-European,GIL,F,Shina,"Gilgit Shina, Domial and Henzel in Gilgit",
Haramosh,Haramosh,hara1257,Haramosh,,Eurasia,,,Indo-European,SAS,F,Shina,"Haramosh Shina, Sassi in Haramosh",
Bagrot,Bagrot,bagr1244,Bagrote,,Eurasia,,,Indo-European,BAG,F,Shina,"Bagrot Shina, Datuche in Bagrote",
